Key,comment,ja-jp,en-us,zh-cn,zh-tw,ko-kr,es-es,ar-sa,
ModelNameLabel,モデル名ラベル,モデル名:,Model Name:,模型名称：,模型名稱：,모델 이름:,Nombre del Modelo:,اسم النموذج:,
ModelTypeLabel,モデルタイプラベル,モデルタイプ:,Model Type:,模型类型：,模型類型：,모델 유형:,Tipo de Modelo:,نوع النموذج:,
InternalSynthRadioButton,内蔵Synthラジオボタン,内蔵Synth,Internal Synth,内置合成器,內建Synth,내장 신스,Sintetizador Interno,مركب داخلي,
SoundFontRadioButton,SoundFontラジオボタン,SoundFont,SoundFont,SoundFont,SoundFont,사운드폰트,SoundFont,SoundFont,
CreateButton,作成ボタン,作成,Create,创建,建立,만들기,Crear,إنشاء,
CancelButton,キャンセルボタン,キャンセル,Cancel,取消,取消,취소,Cancelar,إلغاء,
OkButton,OKボタン,OK,OK,确定,確定,확인,Aceptar,موافق,
NoteVoiceSettingsSampleRateLabel,NoteVoice設定サンプルレートラベル,サンプルレート (Hz),Sample Rate (Hz),采样率 (Hz),取樣率 (Hz),샘플 속도 (Hz),Tasa de Muestreo (Hz),معدل العينة (هرتز),
NoteVoiceSettingsModelSelectionHeader,NoteVoice設定モデル選択ヘッダー,音源モデル選択,Voice Model Selection,音源模型选择,音源模型選擇,음원 모델 선택,Selección de Modelo de Voz,اختيار نموذج الصوت,
NoteVoiceSettingsNewButton,NoteVoice設定新規ボタン,新規,New,新建,新增,신규,Nuevo,جديد,
NoteVoiceSettingsSaveButton,NoteVoice設定保存ボタン,保存,Save,保存,儲存,저장,Guardar,حفظ,
NoteVoiceSettingsSoundFontLayerSettingsHeader,NoteVoice設定SoundFontレイヤー設定ヘッダー,SoundFontレイヤー設定,SoundFont Layer Settings,SoundFont层设置,SoundFont圖層設定,사운드폰트 레이어 설정,Configuración de Capas de SoundFont,إعدادات طبقة SoundFont,
NoteVoiceSettingsAddLayerButton,NoteVoice設定レイヤー追加ボタン,レイヤー追加,Add Layer,添加层,新增圖層,레이어 추가,Añadir Capa,إضافة طبقة,
NoteVoiceSettingsBrowseAddButton,NoteVoice設定参照して追加ボタン,参照して追加...,Browse and Add...,浏览并添加...,瀏覽並新增...,찾아보기 및 추가...,Explorar y Añadir...,استعراض وإضافة...,
NoteVoiceSettingsUpdateFileListTooltip,NoteVoice設定ファイルリスト更新ツールチップ,ファイルリストを更新,Update File List,更新文件列表,更新檔案清單,파일 목록 업데이트,Actualizar Lista de Archivos,تحديث قائمة الملفات,
NoteVoiceSettingsMoveLayerUpTooltip,NoteVoice設定レイヤーを上に移動ツールチップ,上へ,Move Up,上移,上移,위로 이동,Mover Arriba,تحريك لأعلى,
NoteVoiceSettingsMoveLayerDownTooltip,NoteVoice設定レイヤーを下に移動ツールチップ,下へ,Move Down,下移,下移,아래로 이동,Mover Abajo,تحريك لأسفل,
NoteVoiceSettingsDeleteLayerTooltip,NoteVoice設定レイヤー削除ツールチップ,削除,Delete,删除,刪除,삭제,Eliminar,حذف,
NoteVoiceSettingsInternalSynthSettingsHeader,NoteVoice設定内蔵シンセサイザー設定ヘッダー,内蔵シンセサイザー設定,Internal Synthesizer Settings,内置合成器设置,內建合成器設定,내장 신디사이저 설정,Configuración del Sintetizador Interno,إعدادات المركب الداخلي,
NoteVoiceSettingsDefaultWaveformLabel,NoteVoice設定デフォルト波形ラベル,デフォルト波形,Default Waveform,默认波形,預設波形,기본 파형,Forma de Onda Predeterminada,الشكل الموجي الافتراضي,
NoteVoiceSettingsDefaultWaveformTooltip,NoteVoice設定デフォルト波形ツールチップ,音色の基本となる波形です。,This is the basic waveform for the timbre.,音色的基本波形。,音色的基本波形。,음색의 기본 파형입니다.,Esta es la forma de onda básica para el timbre.,هذا هو الشكل الموجي الأساسي للجرس.,
NoteVoiceSettingsAttackLabel,NoteVoice設定アタックラベル,アタック (s),Attack (s),起音 (秒),起音 (秒),어택 (초),Ataque (s),الهجوم (ث),
NoteVoiceSettingsAttackTooltip,NoteVoice設定アタックツールチップ,音が最大音量に達する時間(秒)。,Time in seconds for the sound to reach maximum volume.,声音达到最大音量所需的时间（秒）。,聲音達到最大音量所需的時間（秒）。,소리가 최대 볼륨에 도달하는 시간(초).,Tiempo en segundos para que el sonido alcance el volumen máximo.,الوقت بالثواني لوصول الصوت إلى أقصى مستوى صوت.,
NoteVoiceSettingsDecayLabel,NoteVoice設定ディケイラベル,ディケイ (s),Decay (s),衰减 (秒),衰減 (秒),디케이 (초),Decaimiento (s),الاضمحلال (ث),
NoteVoiceSettingsDecayTooltip,NoteVoice設定ディケイツールチップ,最大音量からサステインレベルに減衰する時間(秒)。,Time in seconds to decay from maximum volume to sustain level.,从最大音量衰减到持续音量所需的时间（秒）。,從最大音量衰減到持續音量所需的時間（秒）。,최대 볼륨에서 서스테인 레벨까지 감쇠하는 시간(초).,Tiempo en segundos para decaer desde el volumen máximo hasta el nivel de sostenido.,الوقت بالثواني للانحلال من الحجم الأقصى إلى مستوى الاستدامة.,
NoteVoiceSettingsSustainLabel,NoteVoice設定サステインラベル,サステインレベル,Sustain Level,持续音量,持續音量,서스테인 레벨,Nivel de Sostenido,مستوى الاستدامة,
NoteVoiceSettingsSustainTooltip,NoteVoice設定サステインツールチップ,音が持続する間の音量レベル(0-1)。,Volume level while the sound persists (0-1).,声音持续期间的音量级别 (0-1)。,聲音持續期間的音量級別 (0-1)。,소리가 지속되는 동안의 볼륨 레벨(0-1).,Nivel de volumen mientras persiste el sonido (0-1).,مستوى الصوت أثناء استمرار الصوت (0-1).,
NoteVoiceSettingsReleaseLabel,NoteVoice設定リリースラベル,リリース (s),Release (s),释放 (秒),釋放 (秒),릴리스 (초),Liberación (s),التحرير (ث),
NoteVoiceSettingsReleaseTooltip,NoteVoice設定リリースツールチップ,ノートが離されてから音が消えるまでの時間(秒)。,Time in seconds for the sound to fade after the note is released.,音符释放后声音消失所需的时间（秒）。,音符釋放後聲音消失所需的時間（秒）。,노트에서 손을 뗀 후 소리가 사라질 때까지의 시간(초).,Tiempo en segundos para que el sonido se desvanezca después de soltar la nota.,الوقت بالثواني حتى يتلاشى الصوت بعد تحرير النوتة.,
NoteVoiceSettingsBandlimitedSynthCheckbox,NoteVoice設定バンドリミテッド合成チェックボックス,バンドリミテッド合成 (高周波ノイズ削減),Bandlimited Synthesis (Reduce high-frequency noise),带限合成（减少高频噪声）,帶限合成（減少高頻噪音）,밴드리미티드 합성 (고주파 노이즈 감소),Síntesis de Banda Limitada (Reduce el ruido de alta frecuencia),تركيب محدود النطاق (تقليل ضوضاء التردد العالي),
NoteVoiceSettingsBandlimitedSynthTooltip,NoteVoice設定バンドリミテッド合成ツールチップ,有効にするとエイリアシングノイズを低減しますが、わずかにCPU負荷が増加します。,Enabling reduces aliasing noise but slightly increases CPU load.,启用可减少混叠噪声，但会略微增加CPU负载。,啟用可減少混疊噪音，但會略微增加CPU負載。,활성화하면 에일리어싱 노이즈를 줄이지만 CPU 부하가 약간 증가합니다.,Habilitarlo reduce el ruido de aliasing pero aumenta ligeramente la carga de la CPU.,يؤدي التمكين إلى تقليل ضوضاء التعرج ولكنه يزيد قليلاً من حمل وحدة المعالجة المركزية.,
NoteVoiceSettingsModelManagementTab,NoteVoice設定モデル管理タブ,モデル管理,Model Management,模型管理,模型管理,모델 관리,Gestión de Modelos,إدارة النماذج,
NoteVoiceSettingsModelManagementHeader,NoteVoice設定モデル管理ヘッダー,音源モデル管理,Voice Model Management,音源模型管理,音源模型管理,음원 모델 관리,Gestión de Modelos de Voz,إدارة نماذج الصوت,
NoteVoiceSettingsRenameButton,NoteVoice設定名前変更ボタン,名前変更,Rename,重命名,重新命名,이름 변경,Renombrar,إعادة تسمية,
NoteVoiceSettingsDeleteButton,NoteVoice設定削除ボタン,削除,Delete,删除,刪除,삭제,Eliminar,حذف,
RenameModelWindowTitle,モデル名変更ウィンドウタイトル,モデル名の変更,Rename Model,重命名模型,重新命名模型,모델 이름 변경,Renombrar Modelo,إعادة تسمية النموذج,
NewModelNamePrompt,新規モデル名プロンプト,新しいモデル名を入力してください:,Enter the new model name:,请输入新的模型名称：,請輸入新的模型名稱：,새 모델 이름을 입력하세요:,Introduzca el nuevo nombre del modelo:,أدخل اسم النموذج الجديد:,
ConfirmDeleteModelMessage,モデル削除確認メッセージ,モデル '{0}' を削除しますか？,Delete model '{0}'?,删除模型“{0}”？,刪除模型「{0}」？,모델 '{0}'을(를) 삭제하시겠습니까?,¿Eliminar modelo '{0}'?,هل تريد حذف النموذج '{0}'؟,
DeleteConfirmationTitle,削除確認タイトル,削除確認,Confirm Deletion,确认删除,確認刪除,삭제 확인,Confirmar Eliminación,تأكيد الحذف,
InvalidOrExistingModelNameError,無効または既存のモデル名エラー,モデル名が無効か、既に存在します。,Model name is invalid or already exists.,模型名称无效或已存在。,模型名稱無效或已存在。,모델 이름이 잘못되었거나 이미 존재합니다.,El nombre del modelo no es válido o ya existe.,اسم النموذج غير صالح أو موجود بالفعل.,
ErrorTitle,エラータイトル,エラー,Error,错误,錯誤,오류,Error,خطأ,
AudioTabHeader,音声タブヘッダー,音声,Audio,音频,音訊,오디오,Audio,الصوت,
PresetGroupHeader,プリセットグループヘッダー,プリセット,Presets,预设,預設,프리셋,Preajustes,الإعدادات المسبقة,
BasicSettingsGroupHeader,基本設定グループヘッダー,基本設定,Basic Settings,基本设置,基本設定,기본 설정,Configuración Básica,الإعدادات الأساسية,
SampleRateLabel,サンプルレートラベル,サンプルレート (Hz),Sample Rate (Hz),采样率 (Hz),取樣率 (Hz),샘플 속도 (Hz),Tasa de Muestreo (Hz),معدل العينة (هرتز),
SampleRateTooltip,サンプルレートツールチップ,1秒間に音声をサンプリングする回数です。値が高いほど音質が向上しますが、CPU負荷も増加します。CD音質は44100Hzです。,The number of times audio is sampled per second. Higher values improve sound quality but increase CPU load. CD quality is 44100Hz.,每秒采样音频的次数。值越高，音质越好，但CPU负载也会增加。CD音质为44100Hz。,每秒取樣音訊的次數。值越高，音質越好，但CPU負載也會增加。CD音質為44100Hz。,초당 오디오를 샘플링하는 횟수입니다. 값이 높을수록 음질이 향상되지만 CPU 부하도 증가합니다. CD 음질은 44100Hz입니다.,El número de veces que se muestrea el audio por segundo. Los valores más altos mejoran la calidad del sonido pero aumentan la carga de la CPU. La calidad de CD es de 44100 Hz.,عدد مرات أخذ عينات الصوت في الثانية. القيم الأعلى تحسن جودة الصوت ولكن تزيد من حمل وحدة المعالجة المركزية. جودة القرص المضغوط هي 44100 هرتز.,
MasterVolumeLabel,マスターボリュームラベル,マスターボリューム,Master Volume,主音量,主音量,마스터 볼륨,Volumen Maestro,مستوى الصوت الرئيسي,
MasterVolumeTooltip,マスターボリュームツールチップ,アプリケーション全体のマスターボリュームを調整します。0 (無音) から 1 (最大) の範囲で設定します。,Adjusts the master volume for the entire application. Set within the range of 0 (mute) to 1 (maximum).,调整整个应用程序的主音量。设置范围为0（静音）到1（最大）。,調整整個應用程式的主音量。設定範圍為0（靜音）到1（最大）。,애플리케이션 전체의 마스터 볼륨을 조정합니다. 0(음소거)에서 1(최대) 범위 내에서 설정합니다.,Ajusta el volumen maestro para toda la aplicación. Establezca dentro del rango de 0 (silencio) a 1 (máximo).,يضبط مستوى الصوت الرئيسي للتطبيق بأكمله. قم بالتعيين ضمن النطاق من 0 (كتم الصوت) إلى 1 (الحد الأقصى).,
NormalizationGroupHeader,正規化グループヘッダー,正規化,Normalization,归一化,標準化,정규화,Normalización,التطبيع,
EnableNormalizationCheckbox,正規化有効チェックボックス,正規化を有効にする,Enable Normalization,启用归一化,啟用標準化,정규화 활성화,Habilitar Normalización,تمكين التطبيع,
EnableNormalizationTooltip,正規化有効ツールチップ,音量を自動的に調整して、音割れを防ぎ、全体の音量を均一化します。,Automatically adjusts the volume to prevent clipping and equalize the overall volume.,自动调整音量以防止削波并均衡整体音量。,自動調整音量以防止削波並均衡整體音量。,볼륨을 자동으로 조정하여 클리핑을 방지하고 전체 볼륨을 균일하게 합니다.,Ajusta automáticamente el volumen para evitar el recorte y ecualizar el volumen general.,يضبط مستوى الصوت تلقائيًا لمنع التقطيع وتوحيد مستوى الصوت العام.,
NormalizationThresholdLabel,正規化閾値ラベル,閾値,Threshold,阈值,閾值,임계값,Umbral,العتبة,
NormalizationThresholdTooltip,正規化閾値ツールチップ,正規化が作動する音量のしきい値です。この値を超えた場合に正規化が適用されます。,The volume threshold at which normalization activates. Normalization is applied when this value is exceeded.,归一化激活的音量阈值。超过此值时应用归一化。,標準化啟動的音量閾值。超過此值時套用標準化。,정규화가 작동하는 볼륨 임계값입니다. 이 값을 초과하면 정규화가 적용됩니다.,El umbral de volumen al que se activa la normalización. La normalización se aplica cuando se supera este valor.,عتبة مستوى الصوت التي يتم عندها تنشيط التطبيع. يتم تطبيق التطبيع عند تجاوز هذه القيمة.,
NormalizationLevelLabel,正規化レベルラベル,レベル,Level,水平,水準,레벨,Nivel,المستوى,
NormalizationLevelTooltip,正規化レベルツールチップ,正規化後の目標音量レベルです。,The target volume level after normalization.,归一化后的目标音量水平。,標準化後的目標音量水準。,정규화 후 목표 볼륨 레벨입니다.,El nivel de volumen objetivo después de la normalización.,مستوى الصوت المستهدف بعد التطبيع.,
GlobalFadeOutGroupHeader,グローバルフェードアウトグループヘッダー,グローバル・フェードアウト,Global Fade-Out,全局淡出,全域淡出,글로벌 페이드 아웃,Fundido de Salida Global,التلاشي التدريجي العام للخارج,
EnableGlobalFadeOutCheckbox,グローバルフェードアウト有効チェックボックス,最終音声のフェードアウトを有効にする,Enable fade-out for final audio,启用最终音频的淡出,啟用最終音訊的淡出,최종 오디오 페이드 아웃 활성화,Habilitar fundido de salida para el audio final,تمكين التلاشي التدريجي للخارج للصوت النهائي,
EnableGlobalFadeOutTooltip,グローバルフェードアウト有効ツールチップ,再生終了時に音を滑らかにフェードアウトさせ、突然の音切れを防ぎます。,Smoothly fades out the sound at the end of playback to prevent abrupt cutoffs.,在播放结束时平滑地淡出声音，以防止突然中断。,在播放結束時平滑地淡出聲音，以防止突然中斷。,재생 종료 시 사운드를 부드럽게 페이드 아웃하여 갑작스러운 끊김을 방지합니다.,Desvanece suavemente el sonido al final de la reproducción para evitar cortes abruptos.,يتلاشى الصوت تدريجيًا بسلاسة في نهاية التشغيل لمنع الانقطاعات المفاجئة.,
FadeOutTimeLabel,フェードアウト時間ラベル,フェードアウト時間 (s),Fade-out Time (s),淡出时间 (秒),淡出時間 (秒),페이드 아웃 시간 (초),Tiempo de Fundido (s),وقت التلاشي (ث),
FadeOutTimeTooltip,フェードアウト時間ツールチップ,フェードアウトにかける時間（秒）です。,The duration of the fade-out in seconds.,淡出持续时间（秒）。,淡出持續時間（秒）。,페이드 아웃에 걸리는 시간(초)입니다.,La duración del fundido de salida en segundos.,مدة التلاشي التدريجي للخارج بالثواني.,
PresetSaveButton,プリセット保存ボタン,保存,Save,保存,儲存,저장,Guardar,حفظ,
PresetDeleteButton,プリセット削除ボタン,削除,Delete,删除,刪除,삭제,Eliminar,حذف,
PerformanceTabHeader,パフォーマンスタブヘッダー,パフォーマンス,Performance,性能,效能,성능,Rendimiento,الأداء,
RenderingSettingsGroupHeader,レンダリング設定グループヘッダー,レンダリング設定,Rendering Settings,渲染设置,渲染設定,렌더링 설정,Configuración de Renderizado,إعدادات العرض,
RenderingModeLabel,レンダリングモードラベル,レンダリングモード,Rendering Mode,渲染模式,渲染模式,렌더링 모드,Modo de Renderizado,وضع العرض,
RenderingModeTooltip,レンダリングモードツールチップ,音声のレンダリング方法を選択します。リアルタイムモードは低遅延ですが、品質が若干低下する可能性があります。GPUモードは対応したグラフィックボードが必要で、データ転送によるオーバーヘッドが発生することがあります。,Selects the audio rendering method. Realtime mode has lower latency but may slightly reduce quality. GPU mode requires a compatible graphics card and may incur data transfer overhead.,选择音频渲染方法。实时模式延迟较低，但质量可能略有下降。GPU模式需要兼容的显卡，并可能产生数据传输开销。,選擇音訊渲染方法。即時模式延遲較低，但品質可能略有下降。GPU模式需要相容的顯示卡，並可能產生資料傳輸開銷。,오디오 렌더링 방법을 선택합니다. 실시간 모드는 대기 시간이 짧지만 품질이 약간 저하될 수 있습니다. GPU 모드는 호환되는 그래픽 카드가 필요하며 데이터 전송 오버헤드가 발생할 수 있습니다.,Selecciona el método de renderizado de audio. El modo en tiempo real tiene menor latencia pero puede reducir ligeramente la calidad. El modo GPU requiere una tarjeta gráfica compatible y puede incurrir en sobrecarga de transferencia de datos.,يحدد طريقة عرض الصوت. وضع الوقت الفعلي له زمن انتقال أقل ولكنه قد يقلل الجودة قليلاً. يتطلب وضع GPU بطاقة رسومات متوافقة وقد يتسبب في زيادة حمل نقل البيانات.,
BasicSettingsGroupHeaderPerformance,基本設定グループヘッダー(パフォーマンス),基本設定,Basic Settings,基本设置,基本設定,기본 설정,Configuración Básica,الإعدادات الأساسية,
BufferSizeLabel,バッファサイズラベル,バッファサイズ,Buffer Size,缓冲区大小,緩衝區大小,버퍼 크기,Tamaño del Búfer,حجم المخزن المؤقت,
BufferSizeTooltip,バッファサイズツールチップ,一度に処理するオーディオサンプルの数です。値が小さいほど遅延は少なくなりますが、CPU負荷は高くなり、音飛びの原因になることがあります。,The number of audio samples processed at once. Smaller values reduce latency but increase CPU load and may cause dropouts.,一次处理的音频样本数。值越小延迟越低，但CPU负载越高，可能导致音频中断。,一次處理的音訊樣本數。值越小延遲越低，但CPU負載越高，可能導致音訊中斷。,한 번에 처리되는 오디오 샘플 수입니다. 값이 작을수록 대기 시간이 줄어들지만 CPU 부하가 증가하고 끊김 현상이 발생할 수 있습니다.,El número de muestras de audio procesadas a la vez. Los valores más pequeños reducen la latencia pero aumentan la carga de la CPU y pueden causar interrupciones.,عدد عينات الصوت التي تتم معالجتها مرة واحدة. تقلل القيم الأصغر من زمن الانتقال ولكنها تزيد من تحميل وحدة المعالج المركزية وقد تتسبب في انقطاع الصوت.,
MaxPolyphonyLabel,最大同時発音数ラベル,最大同時発音数,Max Polyphony,最大复音数,最大同時發聲數,최대 동시 발음 수,Polifonía Máxima,أقصى عدد للأصوات المتزامنة,
MaxPolyphonyTooltip,最大同時発音数ツールチップ,同時に再生できる最大ノート数です。この値を超えると、古いノートが発音されなくなることがあります。,The maximum number of notes that can be played simultaneously. Exceeding this value may cause older notes to stop sounding.,可同时播放的最大音符数。超过此值可能会导致较早的音符停止发声。,可同時播放的最大音符數。超過此值可能會導致較早的音符停止發聲。,동시에 재생할 수 있는 최대 노트 수입니다. 이 값을 초과하면 오래된 노트 소리가 멈출 수 있습니다.,El número máximo de notas que se pueden reproducir simultáneamente. Superar este valor puede hacer que las notas más antiguas dejen de sonar.,أقصى عدد للنوتات التي يمكن تشغيلها في نفس الوقت. قد يؤدي تجاوز هذه القيمة إلى توقف النوتات الأقدم عن الصوت.,
MaxThreadsLabel,最大スレッド数ラベル,最大スレッド数,Max Threads,最大线程数,最大執行緒數,최대 스레드 수,Máximo de Hilos,أقصى عدد للخيوط,
MaxThreadsTooltip,最大スレッド数ツールチップ,音声処理に使用するCPUの最大スレッド数です。通常はCPUのコア数に合わせると効果的です。,The maximum number of CPU threads used for audio processing. Typically, matching this to the number of CPU cores is effective.,用于音频处理的最大CPU线程数。通常，将其设置为CPU核心数效果最佳。,用於音訊處理的最大CPU執行緒數。通常，將其設定為CPU核心數效果最佳。,오디오 처리에 사용되는 최대 CPU 스레드 수입니다. 일반적으로 CPU 코어 수와 일치시키는 것이 효과적입니다.,El número máximo de hilos de CPU utilizados para el procesamiento de audio. Normalmente, es efectivo igualar esto al número de núcleos de la CPU.,أقصى عدد لخيوط وحدة المعالج المركزية المستخدمة لمعالجة الصوت. عادةً ما يكون مطابقته لعدد أنوية وحدة المعالج المركزية فعالاً.,
InitialSyncDurationLabel,初期読み込み時間ラベル,初期読み込み時間 (秒),Initial Load Time (s),初始加载时间 (秒),初始載入時間 (秒),초기 로딩 시간 (초),Tiempo de Carga Inicial (s),وقت التحميل الأولي (ث),
InitialSyncDurationTooltip,初期読み込み時間ツールチップ,ファイル読み込み時に、最初に同期的に読み込んでおく再生時間（秒）です。長いほど再生開始前の待ち時間が長くなりますが、再生中の読み込み処理が軽減されます。,The playback duration (in seconds) loaded synchronously when the file is opened. Longer times increase initial wait but reduce processing during playback.,文件加载时同步加载的播放时长（秒）。时间越长，初始等待时间越长，但会减少播放期间的处理。,檔案載入時同步載入的播放時長（秒）。時間越長，初始等待時間越長，但會減少播放期間的處理。,파일 로드 시 동기적으로 로드되는 재생 시간(초)입니다. 시간이 길수록 초기 대기 시간이 길어지지만 재생 중 처리 부하가 줄어듭니다.,La duración de la reproducción (en segundos) cargada sincrónicamente al abrir el archivo. Tiempos más largos aumentan la espera inicial pero reducen el procesamiento durante la reproducción.,مدة التشغيل (بالثواني) التي يتم تحميلها بشكل متزامن عند فتح الملف. تزيد الأوقات الأطول من الانتظار الأولي ولكنها تقلل المعالجة أثناء التشغيل.,
GpuAccelerationGroupHeader,GPUアクセラレーショングループヘッダー,GPUアクセラレーション (試験的),GPU Acceleration (Experimental),GPU加速 (实验性),GPU加速 (實驗性),GPU 가속 (실험적),Aceleración de GPU (Experimental),تسريع GPU (تجريبي),
GpuAccelerationTooltip,GPUアクセラレーションツールチップ,試験的な機能です。GPUを使用して音声処理の一部を高速化します。対応したグラフィックボードが必要です。,Experimental feature. Uses the GPU to accelerate parts of the audio processing. Requires a compatible graphics card.,实验性功能。使用GPU加速部分音频处理。需要兼容的显卡。,實驗性功能。使用GPU加速部分音訊處理。需要相容的顯示卡。,실험적인 기능입니다. GPU를 사용하여 오디오 처리 일부를 가속화합니다. 호환되는 그래픽 카드가 필요합니다.,Función experimental. Utiliza la GPU para acelerar partes del procesamiento de audio. Requiere una tarjeta gráfica compatible.,ميزة تجريبية. تستخدم وحدة معالجة الرسومات لتسريع أجزاء من معالجة الصوت. يتطلب بطاقة رسومات متوافقة.,
InitializeGpuOnStartupCheckbox,起動時GPU初期化チェックボックス,起動時にGPUデバイスを初期化する,Initialize GPU device on startup,启动时初始化GPU设备,啟動時初始化GPU裝置,시작 시 GPU 장치 초기화,Inicializar dispositivo GPU al inicio,تهيئة جهاز GPU عند بدء التشغيل,
InitializeGpuOnStartupTooltip,起動時GPU初期化ツールチップ,有効な場合、YMM4の起動時にGPUデバイスを初期化します。無効な場合、MIDIファイルの初回読み込み時に初期化処理が行われるため、初回の読み込みに時間がかかることがあります。,If enabled, initializes the GPU device when YMM4 starts. If disabled, initialization occurs on the first MIDI file load, which may take longer.,如果启用，则在YMM4启动时初始化GPU设备。如果禁用，则在首次加载MIDI文件时进行初始化，这可能需要更长时间。,如果啟用，則在YMM4啟動時初始化GPU裝置。如果禁用，則在首次載入MIDI檔案時進行初始化，這可能需要更長時間。,활성화된 경우 YMM4 시작 시 GPU 장치를 초기화합니다. 비활성화된 경우 첫 번째 MIDI 파일 로드 시 초기화가 수행되므로 로드 시간이 더 걸릴 수 있습니다.,Si está habilitado, inicializa el dispositivo GPU cuando se inicia YMM4. Si está deshabilitado, la inicialización ocurre en la primera carga del archivo MIDI, lo que puede llevar más tiempo.,إذا تم تمكينه ، يقوم بتهيئة جهاز GPU عند بدء تشغيل YMM4. إذا تم تعطيله ، يحدث التهيئة عند أول تحميل لملف MIDI ، مما قد يستغرق وقتًا أطول.,
GpuSynthesisCheckbox,GPUシンセシスチェックボックス,シンセシス,Synthesis,合成,合成,신디사이저,Síntesis,التركيب,
GpuSynthesisTooltip,GPUシンセシスツールチップ,GPUを使用して波形合成処理を行います。,Uses the GPU for waveform synthesis processing.,使用GPU进行波形合成处理。,使用GPU進行波形合成處理。,GPU를 사용하여 파형 합성 처리를 수행합니다.,Utiliza la GPU para el procesamiento de síntesis de formas de onda.,يستخدم وحدة معالجة الرسومات لمعالجة تركيب شكل الموجة.,
GpuEqualizerCheckbox,GPUイコライザーチェックボックス,イコライザー,Equalizer,均衡器,等化器,이퀄라이저,Ecualizador,المعادل,
GpuEqualizerTooltip,GPUイコライザーツールチップ,GPUを使用してイコライザー処理を行います。,Uses the GPU for equalizer processing.,使用GPU进行均衡器处理。,使用GPU進行等化器處理。,GPU를 사용하여 이퀄라이저 처리를 수행합니다.,Utiliza la GPU para el procesamiento del ecualizador.,يستخدم وحدة معالجة الرسومات لمعالجة المعادل.,
GpuEffectsChainCheckbox,GPUエフェクトチェーンチェックボックス,エフェクトチェーン,Effects Chain,效果链,效果鏈,이펙트 체인,Cadena de Efectos,سلسلة التأثيرات,
GpuEffectsChainTooltip,GPUエフェクトチェーンツールチップ,GPUを使用して複数のエフェクト（リバーブ、コンプなど）をまとめて処理します。,Uses the GPU to process multiple effects (reverb, compression, etc.) together.,使用GPU统一处理多个效果（混响、压缩等）。,使用GPU統一處理多個效果（混響、壓縮等）。,GPU를 사용하여 여러 이펙트(리버브, 컴프레션 등)를 함께 처리합니다.,Utiliza la GPU para procesar múltiples efectos (reverberación, compresión, etc.) juntos.,يستخدم وحدة معالجة الرسومات لمعالجة تأثيرات متعددة (صدى ، ضغط ، إلخ) معًا.,
GpuConvolutionReverbCheckbox,GPU畳み込みリバーブチェックボックス,畳み込みリバーブ,Convolution Reverb,卷积混响,摺積混響,컨볼루션 리버브,Reverberación de Convolución,صدى الالتفاف,
